precision:,0.9193548387096774
recall:,0.7247899159663865

"
Ç±Ç±Ç©ÇÁPrecision
"
0.788,0.895,0.928,0.844,0.684,0.945,0.625,0.834
T,T,T,T,T,T,T,T

0.427,0.84,0.852,0.416,0.6,0.609,0.774
F,T,T,F,T,T,T

0.792,0.663,0.924,0.336,0.58,0.704,0.753
T,T,T,F,T,T,T

0.811,0.896,0.906,0.701,0.673,0.597
T,T,T,T,T,T

0.877,0.836,0.849
T,T,T

0.915,0.501,0.812
T,T,T

0.874,0.765
T,T

0.871
T

0.861,0.942,0.733,0,0.772
T,T,T,F,T

0.705,0.401
T,F

0.877,0.854
T,T

0.755,0.577,0.819,0.562,0.812,0.785,0.021,0.647,0.367,0.746,0.6,0.56,0.425
T,T,T,T,T,T,F,T,F,T,T,T,F

0.813,0.867,0.838,0.79,0.916,0.793,0.738,0.626
T,T,T,T,T,T,T,T

0.864,0.816,0.807
T,T,T

0.84
T

0.912,0.861,0.425,0.724,0.714
T,T,F,T,T

0.946,0.882,0.696
T,T,T

0.956,0.784,0.876
T,T,T

0.845,0.82,0.718,0.732,0.548
T,T,T,T,T

0.675
T

0.885
T

0.78,0.914,0.835,0.437,0.489
T,T,T,F,F

0.958,0.821,0.91
T,T,T

0.854,0.883,0.959
T,T,T

0.903
T

0.697,0.867,0.769,0.737,0.729,0.844
T,T,T,T,T,T

0.906,0.708,0.766,0.819,0.798,0.735,0.773,0.735
T,T,T,T,T,T,T,T

0.864,0.598,0.607,0.745
T,T,T,T

0.88,0.544,0.821,0.651,0.451,0.796,0.69,0.727,0.736
T,T,T,T,F,T,T,T,T

0.827,0.872,0.84,0.769,0.806,0.663,0.843,0.781
T,T,T,T,T,T,T,T

0.905,0.807,0.769,0.817,0.849,0.469,0.585,0.596,0.759
T,T,T,T,T,F,T,T,T

0.721,0.857,0.859,0.64,0.793,0.542,0.615
T,T,T,T,T,T,T

0.91,0.717,0.973,0.795,0.795
T,T,T,T,T

0.715,0.683,0.957,0.775
T,T,T,T

0.413,0.364,0.867,0.434,0.895,0.809,0.771
F,F,T,F,T,T,T

0.882,0.936,0.83
T,T,T

0.798,0.827,0.897
T,T,T

0.805,0.864,0.799,0.858
T,T,T,T

0.933
T

0.836,0.774,0.851,0.795
T,T,T,T

0.753,0.387,0.805,0.196,0.158,0.662
T,F,T,F,F,T

0.865,0.94,0.8,0.75,0.84,0.762,0.758
T,T,T,T,T,T,T

0.784,0.927,0.899,0.587
T,T,T,T

0.939,0.887,0.819,0.863,0.95,0.902
T,T,T,T,T,T

0.882,0.828,0.792,0.802
T,T,T,T

0.859,0.839
T,T

0.779,0.416,0.19,0.797,0.816
T,F,F,T,T

0.876,0.757
T,T

0.862,0.799,0.811,0.89,0.817,0.839,0.744,0.862,0.504
T,T,T,T,T,T,T,T,T

0.91,0.363,0.787,0.762,0.5
T,F,T,T,F

empty
empty

empty
empty

0.832,0.871,0.693,0.797,0.586
T,T,T,T,T

0.881,0.889,0.926,0.845,0.662
T,T,T,T,T

0.866,0.81
T,T

0.914,0.736,0.637,0.685
T,T,T,T

0.707,0.762,0.818
T,T,T

0.827,0.882,0.772
T,T,T

0.721,0.785,0.835,0.643
T,T,T,T

0.888
T

0.718,0.85
T,T

0.849,0.779,0.872,0.852,0.828,0.822
T,T,T,T,T,T

0.816,0.909,0.79,0.861,0.843,0.675
T,T,T,T,T,T

0.67,0.666,0.521
T,T,T

0.783,0.875,0.807,0.319,0.586,0.776,0.217
T,T,T,F,T,T,F

0.875,0.767,0.825,0.935,0.822
T,T,T,T,T

0.912,0.889,0.716
T,T,T

0.85,0.802,0.807
T,T,T

0.772,0.68
T,T

empty
empty

0.913,0.864,0.89,0.909
T,T,T,T

0.798,0.828,0.815,0.891
T,T,T,T

0.91,0.852
T,T

0.618,0.914,0.513
T,T,T

0.867,0.869
T,T

0.813,0.92,0.837,0.646,0.935,0.11,0.406
T,T,T,T,T,F,F

0.842,0.766,0.866
T,T,T

0.812,0.831
T,T

0.923,0.699,0.698
T,T,T

0.918,0.873,0.873,0.762,0.683
T,T,T,T,T

0.701,0.754
T,T

0.77,0.854,0.622,0.326,0.684
T,T,T,F,T

0.848,0.933,0.867,0.912,0.842,0.7,0.806
T,T,T,T,T,T,T

0.728
T

0.916
T

0.623,0.903,0.916,0.861,0.662,0.883
T,T,T,T,T,T

0.851
T

0.569,0.763,0.704,0.161
T,T,T,F

empty
empty

0.728,0.918,0.827
T,T,T

0.682,0.921,0.302
T,T,F

0.735,0.718,0.892,0.771
T,T,T,T

empty
empty

empty
empty

0.743
T

0.752
T

empty
empty

empty
empty

0.898
T

empty
empty

"
Ç±Ç±Ç©ÇÁRecall
"
0.945,0.788,0.684,0.625,0.844,0.895,0.928,0.834
T,T,T,T,T,T,T,T

0.84,0.6,0.427,0.774,0.852,0.609
T,T,F,T,T,T

0.663,0.792,0.753,0.704,0.924,0.336,0.26,0.167,0.58,0.051
T,T,T,T,T,F,F,F,T,F

0.896,0,0.811,0.597,0.906,0,0.673,0.701
T,F,T,T,T,F,T,T

0.849,0.836,0.877
T,T,T

0.812,0.915,0.343,0.501
T,T,F,T

0.765,0.874
T,T

0.871
T

0,0,0.772,0.861,0.942,0.733
F,F,T,T,T,T

0.705,0.107,0,0.324,0.401
T,F,F,F,F

0.877,0.854
T,T

0.819,0.755,0.577,0.099,0.647,0.746,0.785,0.562,0.054,0.812,0.367,0.56,0.082,0.091,0.6,0.091
T,T,T,F,T,T,T,T,F,T,F,T,F,F,T,F

0.838,0.793,0.738,0.813,0.79,0.626,0.867,0.916,0.131
T,T,T,T,T,T,T,T,F

0.816,0.864,0.807,0.11,0.11,0
T,T,T,F,F,F

0.84
T

0.232,0.425,0.714,0.912,0.861,0.724
F,F,T,T,T,T

0.191,0.882,0.946,0.696,0.064
F,T,T,T,F

0.784,0.876,0.956
T,T,T

0.82,0.548,0.718,0.732,0.845,0.083,0.016,0
T,T,T,T,T,F,F,F

0.675,0,0
T,F,F

0.885
T

0.835,0.914,0.489,0.78
T,T,F,T

0.958,0.91,0.821
T,T,T

0.854,0.959,0.883
T,T,T

0.903,0.204
T,F

0.844,0.737,0.697,0.074,0.729,0.867,0.769,0.149,0.159
T,T,T,F,T,T,T,F,F

0.819,0.735,0.766,0.735,0.773,0.798,0.708,0.906
T,T,T,T,T,T,T,T

0.607,0.598,0.745,0.864
T,T,T,T

0.796,0,0.047,0.651,0.727,0.69,0.821,0.88,0.544,0.736,0.108
T,F,F,T,T,T,T,T,T,T,F

0.843,0.663,0.769,0.827,0.872,0.025,0.806,0.84,0.075,0.781,0.056,0.107
T,T,T,T,T,F,T,T,F,T,F,F

0.585,0.596,0.817,0.905,0.469,0.849,0.769,0.759,0.807,0.109,0.064,0.116
T,T,T,T,F,T,T,T,T,F,F,F

0.721,0.859,0.857,0.277,0.793,0.542,0.64,0.281,0.347,0.615
T,T,T,F,T,T,T,F,F,T

0.973,0.91,0.795,0.795,0.717,0.198,0.246
T,T,T,T,T,F,F

0.775,0.683,0.161,0.957,0.715
T,T,F,T,T

0.867,0.771,0.434,0.308,0.895,0.809,0.413,0.732
T,T,F,F,T,T,F,T

0.936,0.021,0,0.882,0.83,0.04,0
T,F,F,T,T,F,F

0.827,0.798,0.003,0,0.897,0.042,0.004
T,T,F,F,T,F,F

0.864,0.858,0.104,0.021,0.805,0.338,0.251,0.799,0.024
T,T,F,F,T,F,F,T,F

0.933
T

0.851,0.836,0.795,0.328,0.002,0.774
T,T,T,F,F,T

0.387,0.805,0.662,0.753
F,T,T,T

0.94,0.84,0.758,0.75,0.8,0.762,0.865
T,T,T,T,T,T,T

0.008,0,0.022,0.899,0.152,0.784,0.549,0.587,0.927
F,F,F,T,F,T,T,T,T

0.95,0.819,0.887,0.939,0.863,0.902
T,T,T,T,T,T

0.792,0.828,0.802,0.882
T,T,T,T

0.839,0.859
T,T

0.365,0.816,0.416,0.779,0.303,0.797,0.236
F,T,F,T,F,T,F

0.876,0.757,0
T,T,F

0.811,0.817,0.862,0.41,0.744,0.839,0.504,0.862,0.799,0.51,0.89
T,T,T,F,T,T,T,T,T,T,T

0.91,0.168,0.5,0.363,0.762,0.787,0.325,0
T,F,F,F,T,T,F,F

empty
empty

0,0
F,F

0.871,0.693,0.123,0.832,0.797,0.586,0
T,T,F,T,T,T,F

0.662,0.881,0.926,0.102,0.889,0.845
T,T,T,F,T,T

0,0,0.866,0.219,0.81,0.03
F,F,T,F,T,F

0.637,0.685,0.736,0.914
T,T,T,T

0.762,0.818,0.707
T,T,T

0.882,0.772,0.827,0.041
T,T,T,F

0.835,0.643,0.721,0.785
T,T,T,T

0.888
T

0,0,0.85,0,0,0.718,0
F,F,T,F,F,T,F

0.872,0.828,0.822,0.779,0.849,0.852
T,T,T,T,T,T

0.909,0.861,0.675,0.79,0.843,0.816
T,T,T,T,T,T

0.666,0.521,0.67
T,T,T

0.875,0.776,0.108,0.807,0.586,0.012,0.783,0,0
T,T,F,T,T,F,T,F,F

0.825,0.767,0.301,0.935,0.043,0.034,0.822,0.875
T,T,F,T,F,F,T,T

0,0.912,0.716,0.889
F,T,T,T

0.802,0.807,0.85
T,T,T

0.772,0.68,0
T,T,F

empty
empty

0.909,0.864,0.913,0.89
T,T,T,T

0,0,0,0.891,0,0.815,0.828,0.798
F,F,F,T,F,T,T,T

0.91,0.852
T,T

0.914,0.026,0.618,0.513
T,F,T,T

0.869,0.867
T,T

0.935,0.92,0.813,0.646,0.837
T,T,T,T,T

0.842,0.766,0.866
T,T,T

0.812,0.831,0.099
T,T,F

0.923,0.699,0.698
T,T,T

0.873,0.683,0.762,0.873,0.918
T,T,T,T,T

0.701,0.754
T,T

0.684,0.77,0.854,0.326
T,T,T,F

0.867,0.848,0.806,0.842,0.7,0.912,0.933,0.319
T,T,T,T,T,T,T,F

0.074,0.728
F,T

0.916
T

0.916,0.538,0.623,0.662,0.861,0.883,0.903
T,T,T,T,T,T,T

0.851,0
T,F

0.569,0.763,0.704
T,T,T

0
F

0.918,0.827,0.728
T,T,T

0.682,0.921
T,T

0.892,0.735,0.306,0.771,0.718
T,T,F,T,T

empty
empty

0
F

0.743,0.059,0.034
T,F,F

0.752,0,0
T,F,F

empty
empty

empty
empty

0.898
T

0
F

